epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.9312333379473,6.914139025726318,0.072,0.496
1,6.763140791938419,6.375633002624512,1.68,5.39
2,6.537735167003813,6.05883666809082,2.904,9.002
3,6.385015782855806,5.755575778045654,4.03,12.162
4,6.1887590771629695,5.514111716766357,5.604,15.77
5,6.0095930099487305,5.302542289428711,6.958,19.298
6,5.916605881282261,5.281824160461426,7.102,19.266
7,5.817034062885103,4.919594752807617,10.25,25.69
8,5.668805780864897,4.854390640106201,10.924,26.72
9,5.5552839778718495,4.696359604949951,12.502,29.48
10,5.435513814290364,4.304356319885254,16.344,36.806
11,5.295758383614676,4.384899728393555,15.76,35.422
12,5.217657679603214,4.180070543518067,18.08,39.412
13,5.131070568448021,3.981724059448242,20.628,42.958
14,5.066527707236154,3.9998370460510255,20.848,42.818
15,4.978994142441523,3.7789964250183106,23.778,47.128
16,4.919603938148136,3.650763090057373,25.09,49.692
17,4.828439485459101,3.535904783935547,26.974,51.608
18,4.73192362558274,3.470032982330322,28.486,53.656
19,4.683524177187965,3.3824095349121093,29.186,54.958
20,4.624209880828857,3.2468773037719725,31.776,57.538
21,4.540805589585077,3.2095672203063965,31.532,58.018
22,4.493474392663865,3.1962736962890625,32.86,58.622
23,4.466665404183524,3.1668820153808594,33.09,58.698
24,4.4074590773809526,3.0268596337890625,35.89,61.616
25,4.340952782403855,2.8959542935180664,37.404,63.442
26,4.340434642065139,2.866656235961914,38.02,64.256
27,4.2910735834212534,2.850743637237549,38.576,64.658
28,4.2829000155131025,2.755175132141113,39.87,66.07
29,4.172167948314121,2.750715569458008,41.052,66.812
30,4.21480561438061,2.7259323779296873,41.052,66.812
31,4.127224740527925,2.6629124407958984,41.836,67.938
32,4.106644028709049,2.671346121826172,41.724,67.972
33,4.035900944755191,2.6066812562561035,43.058,69.368
34,4.009394884109497,2.571975312347412,43.988,69.73
35,3.9902218182881675,2.520251661529541,44.434,70.4
36,3.975892180488223,2.4543291764831543,45.682,71.574
37,3.9288612660907565,2.457797194519043,45.534,71.052
38,3.876850446065267,2.368337773895264,47.134,72.758
39,3.877146743592762,2.3375729620361327,47.28,73.23
40,3.871331214904785,2.3794519145202635,47.962,73.416
41,3.8627982707250688,2.3145861778259276,48.652,73.866
42,3.819197166533697,2.2967963673400877,48.88,73.978
43,3.7903676487150646,2.3815504792022706,47.226,72.922
44,3.745809782119024,2.2364001116943357,50.246,75.5
45,3.7597294648488364,2.276390061645508,49.944,75.17
46,3.67495668502081,2.200595565414429,50.198,75.582
47,3.6835377443404425,2.1755740715026857,51.76,76.78
48,3.692187468210856,2.178366920776367,51.142,76.176
49,3.659961450667608,2.1278917823791503,52.318,77.196
50,3.683411268960862,2.182089933013916,51.0,76.07
51,3.5991859095437184,2.1373849215698244,52.82,77.502
52,3.673029172988165,2.1012393351745606,52.892,77.704
53,3.565926018215361,2.101453581008911,53.228,77.678
54,3.591401213691348,2.112761697692871,52.744,77.906
55,3.5846089862641835,2.0479853005981443,53.904,78.368
56,3.5018616857982816,2.045151985397339,54.282,78.844
57,3.5789851801736012,2.0157175377655028,54.85,79.126
58,3.5927824633462087,2.0196310250854492,54.526,78.936
59,3.4577760242280506,2.048997596282959,53.906,78.548
60,3.5705336389087496,1.961943682937622,55.246,79.712
61,3.457475503285726,1.96444732711792,55.81,79.936
62,3.5026623635064986,1.9640283386230468,55.918,79.864
63,3.482702096303304,1.9412851528167725,56.128,80.38
64,3.446351312455677,1.9595557994079589,55.586,79.9
65,3.3732081140790666,1.9956171697998046,55.326,79.702
66,3.3922512304215204,1.934504646987915,56.452,80.41
67,3.433971098491124,1.922193999557495,56.652,80.406
68,3.403435922804333,1.906879260635376,56.848,80.714
69,3.402340537025815,1.9065396139526367,56.93,80.952
70,3.350083578200567,1.8708499490356445,57.41,81.304
71,3.3387254987444197,1.8430244891357421,58.344,82.026
72,3.385455914906093,1.9044190966033936,57.188,81.15
73,3.3566654182615734,1.8241852044677735,58.284,81.784
74,3.3574524152846563,1.826458299560547,58.046,81.824
75,3.31284194900876,1.8017548433685302,59.242,82.424
76,3.316026188078381,1.8473559828948976,58.68,82.014
