epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.931284881773449,6.914576753997803,0.078,0.476
1,6.784022808074951,6.410559464569092,1.566,5.112
2,6.571142015003023,6.117392236785888,2.718,8.418
3,6.437059152693975,5.906183752746582,3.41,10.37
4,6.267928259713309,5.754536462707519,4.126,12.734
5,6.113967986333938,5.480514146728516,5.762,16.414
6,6.0454421043396,5.3358740702819825,7.034,18.982
7,5.950127215612502,5.336139183654785,7.024,19.328
8,5.819710141136532,5.019888059387207,9.69,24.296
9,5.752177283877418,4.851731120147705,11.56,28.466
10,5.610740956806001,4.993805693206787,10.152,25.1
11,5.492009344555083,4.659359075775146,13.104,30.544
12,5.412719522203718,4.468030786437988,15.054,34.356
13,5.359845524742489,4.394479184570312,16.152,36.026
14,5.281041349683489,4.205465162811279,18.356,39.142
15,5.209958008357456,4.0940788037109375,19.882,41.408
16,5.126914047059559,4.0386899989318845,20.518,42.384
17,5.0425041516621905,3.877270968170166,22.126,44.998
18,4.9387399809701105,3.8563649491882326,22.606,45.35
19,4.874388217926025,3.7041446627807617,25.122,48.698
20,4.815698464711507,3.7151385130310057,25.252,49.012
21,4.744672729855492,3.560404526062012,26.692,51.432
22,4.694949059259324,3.473536356048584,28.146,53.332
23,4.654986654009138,3.3415775106811525,30.644,56.082
24,4.597146056947254,3.244755090637207,31.764,57.196
25,4.525263559250605,3.24009964263916,32.224,57.956
26,4.502811863308861,3.2145963665771484,32.586,57.812
27,4.452431156521752,3.146253826751709,33.894,59.342
28,4.43032964070638,2.9672970262145997,36.686,62.47
29,4.336178234645298,2.9268155125427247,37.352,63.448
30,4.374216806320917,2.976609861602783,37.15,62.458
31,4.303853761582148,2.9114393229675293,37.202,63.288
32,4.252713646207537,2.9054660322570802,37.546,63.246
33,4.1733444304693315,2.8245527140808107,39.22,65.376
34,4.154924858184088,2.6719633708190917,41.616,67.626
35,4.155570086978731,2.7011927981567383,41.404,67.118
36,4.096828710465204,2.6720934785461425,41.952,67.59
