epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.931247302464077,6.914234375,0.078,0.49
1,6.769493647984096,6.388344959106445,1.638,5.28
2,6.53978088923863,6.059724127807617,2.848,8.942
3,6.392426377251034,5.768288719177246,3.824,11.798
4,6.2043060802278065,5.530493217468262,5.428,15.386
5,6.0153084482465475,5.320752005310059,6.892,19.084
6,5.921692030770438,5.254280216064453,7.268,19.824
7,5.815649078005836,4.99501820892334,9.514,24.178
8,5.658930710383824,4.85140543838501,11.064,27.47
9,5.553134100777762,4.741868981781006,12.002,28.83
10,5.430479458400181,4.346258122711181,16.002,36.026
11,5.282377697172619,4.386477251281739,15.88,35.59
12,5.21815299987793,4.117285332641601,19.08,40.732
13,5.1293070656912665,3.947224569854736,21.112,43.732
14,5.0529774484180265,3.9881908029174804,20.95,43.092
15,4.973107065473284,3.762098133087158,24.094,47.62
16,4.911804653349376,3.7468835095214845,24.054,47.588
17,4.819659528278169,3.5110924781799318,27.316,52.184
18,4.723103704906645,3.4455199479675294,28.774,53.824
19,4.682310376848493,3.3347219528198244,30.236,56.104
20,4.616728941599528,3.244420102996826,31.65,57.55
21,4.539696489061628,3.2121518998718264,31.844,58.094
22,4.485619794754755,3.2131616030883787,32.722,58.45
23,4.475506214868455,3.072156901092529,34.476,60.636
24,4.40461692355928,3.0170971446228028,35.878,61.946
25,4.335061640966506,2.899587499694824,37.4,63.526
26,4.348246460869198,2.9172986892700195,37.34,63.616
27,4.282126755941482,2.818757640686035,38.92,65.272
28,4.27598101752145,2.7745436485290527,39.354,65.678
29,4.18409199941726,2.776559500427246,40.08,65.918
30,4.209953637350173,2.7911373773193358,39.666,65.646
31,4.118333226158505,2.6334798751831054,42.248,68.264
32,4.107963709604173,2.6645263402557373,41.554,67.906
33,4.04499550092788,2.6178161473846435,42.892,69.384
34,3.999951203664144,2.56188642036438,43.846,69.87
35,3.997614622116089,2.5149264237213136,44.61,70.494
36,3.967952943983532,2.436098705673218,46.054,71.956
37,3.943467299143473,2.456769150772095,45.396,71.264
38,3.8782293910071965,2.387570526275635,46.558,72.242
39,3.8808041413625083,2.328919787826538,47.534,73.492
40,3.8723280202774775,2.3929397143554687,47.726,73.57
41,3.8650264626457576,2.2856853002166746,48.818,74.246
42,3.8370005176180886,2.342456532897949,47.906,73.282
43,3.787183171226865,2.313105947265625,48.186,73.866
44,3.7482632114773704,2.2582937648773194,50.432,75.548
45,3.738547052655901,2.2710539980316162,49.842,75.11
46,3.6828462850479853,2.277494264373779,49.026,74.26
47,3.687818311509632,2.1898773937988283,50.964,76.034
48,3.681910957608904,2.1796651371002196,50.66,75.958
49,3.631675300144014,2.2829342015838625,49.82,75.14
50,3.7066528910682317,2.129002943115234,52.42,77.288
51,3.6003754366011846,2.119040192642212,52.928,77.54
52,3.6857720897311257,2.1243648419952392,52.408,77.116
53,3.5598833788008917,2.072387785568237,53.702,77.918
54,3.5756938457489014,2.0705274890899656,53.998,78.388
55,3.5938762596675327,2.0575377016448972,53.64,78.12
56,3.5123832679930187,2.011411352310181,54.562,79.032
57,3.570372456596011,2.0181379388427736,54.666,79.082
58,3.6031736646379744,2.004485378494263,54.91,79.16
59,3.4609168597630093,2.0021628524780275,54.67,79.24
60,3.5687845320928666,1.961233349609375,55.186,79.738
61,3.45042930330549,2.0285791078186035,54.39,78.774
62,3.518068620136806,1.973637384033203,55.146,79.79
63,3.4840435414087203,1.9263261555480957,56.258,80.556
64,3.438187905720302,1.967676194458008,54.988,79.548
65,3.378483874457223,1.9444775942993164,55.94,80.242
66,3.3946928637368337,1.9272598843383788,56.752,80.638
67,3.4360286508287703,1.9322137271881104,56.65,80.478
68,3.389507600239345,1.929834978942871,56.314,80.362
69,3.408997376759847,1.9188704987335206,56.926,80.992
70,3.3728890419006348,1.8840129636383056,57.31,81.114
71,3.3351197129204158,1.8725009781646729,57.956,81.548
72,3.394623415810721,1.8555701167297363,58.144,81.522
73,3.352355707259405,1.8355288512420653,58.086,81.766
74,3.342831327801659,1.819342099456787,57.894,81.784
75,3.307949429466611,1.814150347366333,58.922,82.384
76,3.3117948940822055,1.8702558671569824,58.376,81.764
77,3.374756449744815,1.7879088052368164,58.826,82.076
78,3.33971137092227,1.8221647627258302,58.626,82.464
79,3.2656963893345425,1.7996877257537842,59.286,82.61
80,3.263171230043684,1.8031406806182861,58.918,82.45
81,3.2735254764556885,1.8337225551605225,58.736,81.778
82,3.3171107314881825,1.782118448562622,59.754,82.762
83,3.286800327755156,1.8123482859039306,58.866,82.076
84,3.2467526708330428,1.831249075317383,59.45,82.678
85,3.2251636414300826,1.7522847093200684,60.512,83.234
86,3.2260012853713262,1.7619223640441894,60.352,83.282
87,3.2462530249641057,1.7491175511169434,60.26,83.258
88,3.23227215948559,1.7080512637329102,60.978,83.838
89,3.184245302563622,1.785446661376953,60.192,83.218
90,3.143254938579741,1.7619552084350585,60.592,83.436
91,3.1820808932894753,1.7107554949951171,61.308,83.824
92,3.1798001471019925,1.7778929357147217,60.132,82.986
93,3.203353938602266,1.721396043701172,60.658,83.61
94,3.250006391888573,1.7120976670837402,60.62,83.724
95,3.1604828380403065,1.709408161468506,61.574,84.15
96,3.1662805534544445,1.752776446456909,60.522,83.296
97,3.185909180414109,1.713014196243286,61.226,84.084
98,3.1931863512311662,1.695761665878296,61.278,84.126
99,3.2046364489055814,1.6923789917755128,61.616,84.316
100,3.1950778734116327,1.716238507537842,61.022,84.182
101,3.1334456148601713,1.681748501586914,62.084,84.488
102,3.1463493733179,1.6418555364990235,62.312,84.792
103,3.0965736707051597,1.683821131439209,62.018,84.4
104,3.0563239256540933,1.6738068530273438,62.012,84.648
105,3.137288763409569,1.7193910696411132,61.674,84.168
106,3.0714489959535145,1.6465273401641847,62.376,84.688
107,3.1255266212281727,1.682130323944092,61.312,84.104
108,3.1041818459828696,1.6175777198028565,62.482,84.976
109,3.108413094565982,1.637350372543335,62.734,84.736
110,3.1016864208948043,1.671631423034668,62.476,84.798
111,3.116057032630557,1.6450076934814453,62.632,84.936
112,3.1048039141155424,1.6441951472473144,62.508,84.852
113,3.109367075420561,1.611353745727539,63.496,85.426
114,3.0637645380837575,1.5758652437591554,63.57,85.564
115,3.073600246792748,1.6267952635955811,62.842,85.236
116,3.1108276276361373,1.5894106802368164,63.766,85.722
117,3.0972765059698197,1.6323518438720703,62.882,85.026
118,3.09907291049049,1.5961180854797363,63.624,85.638
119,3.1374777044568742,1.5925748546600342,63.93,85.422
120,3.0614553065527055,1.5486404138183594,64.07,85.6
121,3.0269031411125544,1.595646255569458,63.858,85.67
122,3.052140462966192,1.5965447660827636,63.654,85.394
123,2.987261942454747,1.588037670059204,63.838,85.804
124,3.048362686520531,1.6133482021331786,63.152,85.294
125,3.0604995659419467,1.617226585998535,63.568,85.486
126,2.9481931300390336,1.6166559394073485,62.932,85.116
127,3.0327420234680176,1.579167370223999,63.432,85.544
128,3.0835066863468716,1.6090498033142089,63.988,85.584
129,3.037693296160017,1.6084010906982422,63.64,85.634
130,3.000655389967419,1.562236990814209,64.588,86.056
131,3.0291374978565035,1.58811516166687,64.408,86.106
132,2.9951234658559165,1.5772049709320068,63.788,85.746
133,2.989230757667905,1.5205822436523437,64.546,86.296
134,2.989530608767555,1.5637303689575195,64.24,85.916
135,3.0101444040025984,1.6091395307922363,64.08,85.57
136,3.044758773985363,1.545682964401245,64.956,86.358
137,3.030929894674392,1.4966333430480958,65.162,86.628
138,3.02720840771993,1.5148195199584962,65.086,86.484
139,3.0351370516277494,1.513462933883667,65.176,86.464
140,2.975128662018549,1.5492635770416259,65.124,86.346
141,2.9650478590102423,1.627692177734375,62.722,85.02
142,2.937974078314645,1.4983808376312255,65.28,86.68
143,2.975741011755807,1.5512729517364503,64.806,86.328
144,2.9592533452170238,1.5130633535003661,64.768,86.348
145,2.977460089183989,1.5177165681457518,65.14,86.624
146,2.9131635143643333,1.5128702285766602,65.414,86.86
147,2.920851219268072,1.493381727142334,65.65,86.608
148,2.9897427218300954,1.5152587701416016,65.254,86.57
149,2.947465181350708,1.5487788493347168,64.852,86.45
150,2.968283074242728,1.5131865226745604,65.058,86.504
151,2.951259147553217,1.5471750453186035,64.836,86.208
152,2.9741881234305247,1.594504412765503,63.866,85.584
153,2.9790663378579274,1.5384802417755128,64.752,86.396
154,2.9115723995935348,1.4952185585021973,65.492,86.604
155,2.9300813447861445,1.4864110612487793,65.414,86.736
156,2.970370542435419,1.4819400720977782,66.148,87.07
157,2.9426166102999733,1.5085077794647217,65.664,86.944
158,2.956490164711362,1.4818652597808837,65.91,86.928
159,2.924675260271345,1.5024219583892822,65.85,87.17
160,2.9636305513836088,1.5087962826538086,65.716,86.708
161,2.9615841820126487,1.4933528485107421,66.034,87.196
162,2.8954179854620072,1.4990064526367188,65.9,86.812
163,2.885903971535819,1.5073156575393676,66.076,87.076
164,2.875002009528024,1.494508790435791,65.956,87.098
165,2.942285492306664,1.494913311843872,65.734,87.034
166,2.960850193386986,1.4611963314819336,66.094,87.134
167,2.927041621435256,1.4983118782806397,66.014,87.188
168,2.952167068208967,1.4931142024993898,66.08,87.046
169,2.871671267918178,1.4718105821228027,66.718,87.414
170,2.8881297338576544,1.4894775188446046,66.042,87.254
171,2.9083571888151623,1.491561965637207,65.932,87.22
172,2.865579616455805,1.4550244249725341,66.334,87.344
173,2.8882321289607455,1.5500986503601075,64.974,86.302
174,2.9850846585773287,1.4719083208465575,66.292,87.636
175,2.8831969669886996,1.4512781141662598,66.758,87.602
176,2.876183350880941,1.514372858428955,65.586,86.93
177,2.9152385053180514,1.4665747675323486,66.868,87.536
178,2.8313146999904086,1.491544054107666,65.938,87.048
179,2.9189835502987815,1.4260253874206543,66.504,87.606
180,2.878671566645304,1.4355203366851808,67.068,87.812
181,2.941705964860462,1.4405659958648682,66.388,87.44
182,2.9152293432326544,1.4730383123016357,66.046,87.134
183,2.908580575670515,1.4670911862182616,66.422,87.518
184,2.8721106279463995,1.449759726715088,66.754,87.41
185,2.878830217179798,1.500069887008667,65.972,87.0
186,2.8978711991083053,1.4787272731018066,66.542,87.314
187,2.815290507816133,1.4502171572875977,66.66,87.376
188,2.8985058012462797,1.4590338801574707,66.846,87.564
189,2.88482099487668,1.480520241394043,65.9,87.088
190,2.8921902974446616,1.4590342959976197,66.342,87.352
191,2.8930330844152543,1.419648897857666,67.31,87.832
192,2.854370332899548,1.4400014331817628,67.372,88.058
193,2.882120722816104,1.4540643868255616,66.886,87.412
194,2.891402017502558,1.4444624768829346,66.808,87.622
195,2.9040239992595853,1.4915520279693604,65.91,86.938
196,2.8721280211494085,1.4164564074707031,67.138,87.75
197,2.8578347024463473,1.4579237814331054,67.454,87.952
198,2.8875042483920144,1.4740054290008544,66.26,87.272
199,2.842106365022205,1.4417724948120116,67.34,87.786
200,2.865395954677037,1.4052812510681152,67.294,87.874
201,2.8724808238801502,1.4371171661376954,67.174,87.758
202,2.847969259534563,1.4161846358489991,67.024,87.748
203,2.805249804542178,1.4314955271148682,67.616,87.936
204,2.7622320311410085,1.4534645526885985,67.184,87.844
205,2.863610403878348,1.4744073934173585,66.488,87.414
206,2.8500517209370932,1.4704617584228517,66.802,87.552
207,2.819261596316383,1.4393289740753175,67.172,88.006
208,2.8102217061179027,1.401083642539978,67.408,88.044
209,2.8709192957196916,1.4444741414642335,66.514,87.578
210,2.797696420124599,1.4164462523651122,67.482,88.074
211,2.876339764822097,1.4216100539398193,67.644,88.094
212,2.8581103483835855,1.4959809816741942,66.134,87.328
213,2.8833127248854864,1.3992883350372314,67.502,88.192
214,2.816765160787673,1.4219923032379151,67.63,88.24
215,2.8327376274835494,1.4228382579040528,67.852,88.294
216,2.8694458461943126,1.4155459844207763,67.318,87.994
217,2.9084904875074113,1.3871639366149902,67.984,88.336
218,2.856378895895822,1.3680330460357666,68.04,88.382
219,2.7919729550679526,1.4256153569793701,67.332,88.118
220,2.7803576560247514,1.451462886505127,67.278,87.942
221,2.7895586831229076,1.4364530863952636,67.69,88.086
222,2.845296178545271,1.3741613618469237,68.12,88.606
223,2.813282841727847,1.395324903717041,67.74,88.114
224,2.8140234038943337,1.454083244857788,66.668,87.496
225,2.855178503763108,1.416408417892456,67.458,88.012
226,2.7763834453764415,1.426177431793213,67.548,88.078
227,2.7855923175811768,1.4037792820739745,68.038,88.562
228,2.8702177093142556,1.385994245147705,68.81,88.474
229,2.8249127751304988,1.3972065679168701,67.968,88.294
230,2.8394769600459506,1.3901147229766846,67.992,88.368
231,2.8237946260543096,1.3996192965698242,67.742,88.248
232,2.8466105347587947,1.4048380540466308,67.822,88.294
233,2.7489025706336614,1.3891950393676757,68.044,88.26
234,2.8629343850272044,1.4304509632873534,67.54,87.922
235,2.7971318676358177,1.3647303355407714,68.594,88.778
236,2.8217101324172247,1.3830606260299683,68.366,88.376
237,2.8149756704057967,1.45369600189209,66.894,87.68
238,2.825848238808768,1.4090174279403687,67.818,88.25
239,2.8288989180610296,1.401454413909912,68.438,88.468
240,2.8284241471971785,1.4204284362030029,68.11,88.28
241,2.8092611176627025,1.3879163591003418,68.236,88.59
242,2.7887297244299027,1.389381448135376,67.966,88.396
243,2.772807382401966,1.4150844607925415,67.682,88.376
244,2.8149305298214866,1.3660172259521484,68.676,88.704
245,2.8283866473606656,1.387142126083374,67.786,88.212
246,2.7540725639888217,1.376843221206665,68.512,88.7
247,2.7893719332558766,1.3548919297027588,68.63,88.826
248,2.739125058764503,1.4511848062896728,67.266,87.706
249,2.8318945793878463,1.4316519598388673,68.408,88.254
250,2.747807514099848,1.3589150257873535,68.492,88.76
251,2.7709658372969854,1.3847974773406981,68.47,88.472
252,2.7791631789434526,1.3684865482330322,68.396,88.59
253,2.763938097726731,1.3919009094238282,68.04,88.24
254,2.837364219483875,1.3722515284729004,68.686,88.798
255,2.7877509593963623,1.3803556202697753,68.208,88.462
256,2.7886229242597307,1.4145270595550536,67.892,88.212
257,2.847904364267985,1.353656535797119,68.728,88.694
258,2.7693723269871304,1.3964065394592284,68.108,88.228
259,2.787713255201067,1.3422470951080323,68.892,88.718
260,2.7274858270372664,1.3969389794158935,68.316,88.486
261,2.8029173896426247,1.4044422434997559,67.872,88.262
262,2.7557972499302457,1.3750409843444824,68.52,88.764
263,2.736418531054542,1.3884672161102294,68.402,88.558
264,2.769946257273356,1.3345851231384278,68.914,89.004
265,2.8224911916823614,1.4265294669342041,67.686,88.078
